sample	transcript	n	mean	sigma	prop	min	conv	synthrate	synthrate_norm
mmu_dRNA_3T3_mion_1	ENSMUST00000174561	19	466.736212903258	161.699142079404	0.534072014339504	194	1	0.00420279511381402	0.00420279511381402
mmu_dRNA_3T3_mion_1	ENSMUST00000174576	NA	NA	NA	NA	NA	0	NA	NA
mmu_dRNA_3T3_mion_1	ENSMUST00000174586	11	1348.14890152571	331.615683457148	0.54630175006468	581	0	0.00156958854383011	0.00156958854383011
mmu_dRNA_3T3_mion_1	ENSMUST00000174595	27	1054.83202267544	390.046013677028	0.521903181054947	234	1	0.00132990248905262	0.00132990248905262
mmu_dRNA_3T3_mion_1	ENSMUST00000174609	78	367.716480262713	168.800437183032	0.605807904895127	135	1	0.0066038908293874	0.0066038908293874
mmu_dRNA_3T3_mion_1	ENSMUST00000174616	31	1554.0118424034	293.535204033714	0.583342090054761	307	0	0.00112272425342579	0.00112272425342579
mmu_dRNA_3T3_mion_1	ENSMUST00000174641	29	1403.18911386533	569.372950059932	0.531242897924557	276	1	0.0010054222468511	0.0010054222468511
mmu_dRNA_3T3_mion_1	ENSMUST00000174651	16	1428.01851434151	492.216788629924	0.546570924691685	344	1	0.00111198892164998	0.00111198892164998
mmu_dRNA_3T3_mion_1	ENSMUST00000174663	NA	NA	NA	NA	NA	0	NA	NA
mmu_dRNA_3T3_mion_1	ENSMUST00000174664	46	848.567955607044	578.074393104229	0.578087236762884	150	1	0.00196138142286177	0.00196138142286177
mmu_dRNA_3T3_mion_1	ENSMUST00000174672	NA	NA	NA	NA	NA	0	NA	NA
mmu_dRNA_3T3_mion_1	ENSMUST00000174688	29	1073.34045524107	519.849061294837	0.58135523244181	330	1	0.00186813453403008	0.00186813453403008
mmu_dRNA_3T3_mion_1	ENSMUST00000174697	NA	NA	NA	NA	NA	0	NA	NA
mmu_dRNA_3T3_mion_1	ENSMUST00000174699	NA	NA	NA	NA	NA	0	NA	NA
mmu_dRNA_3T3_mion_1	ENSMUST00000174711	13	487.806273881588	79.1474276180357	0.489297396246255	300	1	0.00510146294404281	0.00510146294404281
mmu_dRNA_3T3_mion_1	ENSMUST00000174714	66	804.172709205996	446.345468219543	0.59065838700192	200	1	0.00238830272654613	0.00238830272654613
mmu_dRNA_3T3_mion_1	ENSMUST00000174759	NA	NA	NA	NA	NA	0	NA	NA
mmu_dRNA_3T3_mion_1	ENSMUST00000174768	NA	NA	NA	NA	NA	0	NA	NA
mmu_dRNA_3T3_mion_1	ENSMUST00000174769	NA	NA	NA	NA	NA	0	NA	NA
mmu_dRNA_3T3_mion_1	ENSMUST00000174772	12	1721.03992407592	995.102190817214	0.567249206496555	366	1	0.000967350661485151	0.000967350661485151
mmu_dRNA_3T3_mion_1	ENSMUST00000174779	15	518.73347993888	121.152144931346	0.574856751069463	294	1	0.00601667526527364	0.00601667526527364
mmu_dRNA_3T3_mion_1	ENSMUST00000174786	161	622.617947827694	59.1499648485874	0.344203451931408	143	1	0.0010943359554291	0.0010943359554291
mmu_dRNA_3T3_mion_1	ENSMUST00000174805	107	1874.5140861178	1071.01320760913	0.532026054407475	164	1	0.000664637087447831	0.000664637087447831
mmu_dRNA_3T3_mion_1	ENSMUST00000174806	NA	NA	NA	NA	NA	0	NA	NA
mmu_dRNA_3T3_mion_1	ENSMUST00000174817	NA	NA	NA	NA	NA	0	NA	NA
mmu_dRNA_3T3_mion_1	ENSMUST00000174857	NA	NA	NA	NA	NA	0	NA	NA
mmu_dRNA_3T3_mion_1	ENSMUST00000175693	NA	NA	NA	NA	NA	0	NA	NA
mmu_dRNA_3T3_mion_1	ENSMUST00000175714	NA	NA	NA	NA	NA	0	NA	NA
mmu_dRNA_3T3_mion_1	ENSMUST00000175741	NA	NA	NA	NA	NA	0	NA	NA
mmu_dRNA_3T3_mion_1	ENSMUST00000175744	NA	NA	NA	NA	NA	0	NA	NA
mmu_dRNA_3T3_mion_1	ENSMUST00000175752	11	1070.43613094393	74.727214717626	0.619388431749219	255	1	0.00199568114977638	0.00199568114977638
mmu_dRNA_3T3_mion_1	ENSMUST00000175765	24	1501.06604920382	1237.65596236962	0.665781082355472	282	1	0.00163407951636503	0.00163407951636503
mmu_dRNA_3T3_mion_1	ENSMUST00000175776	NA	NA	NA	NA	NA	0	NA	NA
mmu_dRNA_3T3_mion_1	ENSMUST00000175795	NA	NA	NA	NA	NA	0	NA	NA
mmu_dRNA_3T3_mion_1	ENSMUST00000175799	NA	NA	NA	NA	NA	0	NA	NA
mmu_dRNA_3T3_mion_1	ENSMUST00000175805	NA	NA	NA	NA	NA	0	NA	NA
mmu_dRNA_3T3_mion_1	ENSMUST00000175848	NA	NA	NA	NA	NA	0	NA	NA
mmu_dRNA_3T3_mion_1	ENSMUST00000175858	31	1852.84823800826	848.501935120055	0.528005333912242	193	1	0.000673958006841056	0.000673958006841056
mmu_dRNA_3T3_mion_1	ENSMUST00000175877	NA	NA	NA	NA	NA	0	NA	NA
mmu_dRNA_3T3_mion_1	ENSMUST00000175881	NA	NA	NA	NA	NA	0	NA	NA
mmu_dRNA_3T3_mion_1	ENSMUST00000175883	36	2242.1242473876	115.87378881057	0.75196400233339	383	0	0.00163069943489525	0.00163069943489525
mmu_dRNA_3T3_mion_1	ENSMUST00000175912	13	1647.96983829478	688.747613807334	0.53222831278695	217	1	0.000795121619613059	0.000795121619613059
mmu_dRNA_3T3_mion_1	ENSMUST00000175919	NA	NA	NA	NA	NA	0	NA	NA
mmu_dRNA_3T3_mion_1	ENSMUST00000175934	40	2525.51218549782	1018.98482288632	0.567529817499646	276	1	0.000583370097612706	0.000583370097612706
