transcript,name,gene,n_readlength,maxmean_readlength,sigma_readlength,prop_readlength,min_readlength,n_polyA,maxmean_polyA,sigma_polyA,prop_polyA,min_polyA,t5,transcript_id,hist5p_0,hist5p_1,hist5p_2,hist5p_3,hist5p_4,hist5p_5,hist5p_6,hist5p_7,hist5p_8,hist5p_9,hist3p_0,hist3p_1,hist3p_2,hist3p_3,hist3p_4,hist3p_5,hist3p_6,hist3p_7,hist3p_8,hist3p_9
ENSMUST00000070219,Pard6g,ENSMUSG00000056214,73.0,1649.19428992236,970.894967141254,0.599317150254403,218.0,45.0,146.424012747242,55.369724708152,0.539696144021411,15.65,1.6257604345754599,ENSMUST00000070219,0.0684931506849315,0.0410958904109589,0.0273972602739726,0.0410958904109589,0.0410958904109589,0.0821917808219178,0.0684931506849315,0.2054794520547945,0.2191780821917808,0.2054794520547945,0.0,0.0,0.0,0.0,0.0136986301369863,0.0,0.0,0.0,0.0,0.9863013698630136
ENSMUST00000130491,Cebpg,ENSMUSG00000056216,246.0,1349.67058524769,765.214097132249,0.584742067246088,184.0,171.0,146.577383877294,77.2969035292885,0.52470558669635,4.11,0.43763941985038801,ENSMUST00000130491,0.1967213114754098,0.0983606557377049,0.0491803278688524,0.0573770491803278,0.0655737704918032,0.110655737704918,0.2540983606557377,0.1229508196721311,0.0245901639344262,0.0204918032786885,0.0,0.0081967213114754,0.2622950819672131,0.0204918032786885,0.0122950819672131,0.0081967213114754,0.0040983606557377,0.6147540983606558,0.0,0.0696721311475409
ENSMUST00000163336,Ncoa4,ENSMUSG00000056234,230.0,1788.82779491707,944.581498925751,0.553779618031062,191.0,148.0,164.787929923756,68.5334267334044,0.529282765512736,21.69,1.7935472176932199,ENSMUST00000163336,0.0786026200873362,0.0218340611353711,0.0087336244541484,0.0960698689956331,0.0960698689956331,0.1615720524017467,0.1921397379912663,0.2794759825327511,0.0655021834061135,0.0,0.0,0.0,0.0,0.0,0.0,0.0218340611353711,0.0043668122270742,0.0043668122270742,0.965065502183406,0.0043668122270742
ENSMUST00000070345,Usp39,ENSMUSG00000056305,340.0,1560.62302651709,610.217834545144,0.530632824283074,157.0,214.0,156.563102771749,76.0343477641295,0.528015638415779,12.59,8.5646812451668701,ENSMUST00000070345,0.1858407079646017,0.0442477876106194,0.0589970501474926,0.0501474926253687,0.0855457227138643,0.0914454277286135,0.1563421828908554,0.1769911504424778,0.1415929203539823,0.0088495575221238,0.0029498525073746,0.0,0.0,0.0,0.0029498525073746,0.0029498525073746,0.0029498525073746,0.0058997050147492,0.0501474926253687,0.9321533923303836
ENSMUST00000070524,Tgoln1,ENSMUSG00000056429,187.0,1504.73142363979,1002.73889562749,0.588905545124265,174.0,118.0,179.567228181498,66.1955237650457,0.493378067607568,4.87,1.0152666240021799,ENSMUST00000070524,0.0652173913043478,0.0760869565217391,0.0760869565217391,0.0869565217391304,0.0434782608695652,0.0706521739130434,0.0434782608695652,0.0815217391304347,0.1467391304347826,0.3097826086956521,0.0,0.0054347826086956,0.0,0.2119565217391304,0.0217391304347826,0.0869565217391304,0.0,0.0054347826086956,0.0054347826086956,0.6630434782608695
ENSMUST00000176102,Zbtb25,ENSMUSG00000056459,30.0,1330.593177651,513.463900802058,0.540112062065467,202.0,18.0,159.280672194137,45.8434588497039,0.536901668399405,21.41,0.24019305008674499,ENSMUST00000176102,0.1666666666666666,0.2,0.2666666666666666,0.1333333333333333,0.1333333333333333,0.1,0.0,0.0,0.0,0.0,0.0,0.0333333333333333,0.0,0.0,0.0,0.9,0.0333333333333333,0.0,0.0333333333333333,0.0
ENSMUST00000070630,Cd248,ENSMUSG00000056481,645.0,1456.06563923323,704.188719230332,0.530960014268848,105.0,446.0,143.311072045149,51.6243863090756,0.468977609992191,4.72,3.2162808278599,ENSMUST00000070630,0.0775193798449612,0.0372093023255813,0.0310077519379844,0.0542635658914728,0.0868217054263565,0.1023255813953488,0.1581395348837209,0.1829457364341085,0.2062015503875969,0.0635658914728682,0.0,0.0,0.0062015503875968,0.0031007751937984,0.0015503875968992,0.0,0.0015503875968992,0.0015503875968992,0.0031007751937984,0.9829457364341084
ENSMUST00000072837,Foxk1,ENSMUSG00000056493,76.0,1134.16913133416,923.024377060918,0.641248161376205,159.0,47.0,166.546519230779,56.9439805116056,0.507089056659798,5.2,0.70336277624297805,ENSMUST00000072837,0.0,0.0394736842105263,0.0263157894736842,0.0,0.0263157894736842,0.0131578947368421,0.0131578947368421,0.0263157894736842,0.131578947368421,0.7236842105263158,0.0,0.0,0.0,0.0657894736842105,0.0131578947368421,0.0,0.0,0.0,0.0131578947368421,0.9078947368421052
ENSMUST00000070642,Cebpb,ENSMUSG00000056501,1136.0,1197.22173622506,322.757298505717,0.503513471010975,123.0,696.0,155.952102240498,60.8683221984675,0.481174613225405,2.25,0.1,ENSMUST00000070642,0.2843309859154929,0.0448943661971831,0.0660211267605633,0.0519366197183098,0.1963028169014084,0.1294014084507042,0.0686619718309859,0.0448943661971831,0.0783450704225352,0.0352112676056338,0.0,0.0026408450704225,0.0026408450704225,0.0035211267605633,0.0598591549295774,0.0096830985915492,0.0017605633802816,0.0035211267605633,0.005281690140845,0.9110915492957746
ENSMUST00000070673,Rab31,ENSMUSG00000056515,685.0,1771.73418197371,922.442115521366,0.551396029371272,148.0,479.0,157.399427909808,57.3933326193805,0.482340469384599,3.52,1.61410047765317,ENSMUST00000070673,0.0554744525547445,0.0262773722627737,0.0394160583941605,0.056934306569343,0.0671532846715328,0.0963503649635036,0.1094890510948905,0.1547445255474452,0.2569343065693431,0.1372262773722627,0.0,0.002919708029197,0.0014598540145985,0.0102189781021897,0.0014598540145985,0.0,0.0,0.0,0.0014598540145985,0.9824817518248176
ENSMUST00000121153,Rlim,ENSMUSG00000056537,250.0,1325.86531083625,856.010386381007,0.569107017554798,158.0,169.0,167.412501581108,80.1809341266047,0.516518351553054,10.59,--,ENSMUST00000121153,0.004,0.008,0.04,0.008,0.008,0.02,0.032,0.084,0.292,0.504,0.0,0.0,0.036,0.012,0.004,0.02,0.0,0.012,0.0,0.916
